,age,sport_licence,niveau_etude,smoker,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret,imc
88,52,non,bac+2,oui,2175,veuf,2.0,0.95,1596585600.0,649.0,5000.0,14002.865498517638,32.63439933459296
89,49,oui,master,non,3484,,,0.65,1617408000.0,819.0,5000.0,17450.841622992128,38.71475199665099
90,22,non,doctorat,oui,2106,célibataire,5.0,0.04,1705449600.0,,5000.0,24090.770841341116,32.355467783027315
91,19,oui,doctorat,non,530,célibataire,,0.24,1707696000.0,,10000.0,500.0,22.32696021359069
92,59,oui,bac+2,oui,5303,,,0.38,1746921600.0,,385.13,26156.233451699125,17.839476102308275
93,56,non,bac+2,oui,1714,marié,2.0,0.98,1661212800.0,342.0,755.18,500.0,34.480181041103606
94,41,oui,bac+2,non,1302,divorcé,,0.06,1656115200.0,,,500.0,31.931658924598995
95,60,oui,master,non,4205,célibataire,5.0,0.32,1708560000.0,507.0,959.2,8633.339757804348,17.03320079845013
96,35,non,doctorat,oui,1337,,,0.32,1655856000.0,,,500.0,24.273832851073177
97,40,non,master,non,1022,marié,2.0,0.83,1651449600.0,,1181.95,22176.96596468062,19.068873115069895
98,26,oui,aucun,non,2685,célibataire,,0.18,1585008000.0,,,19568.24158699261,30.221368388448663
99,54,non,bac+2,oui,2332,divorcé,0.0,0.38,1619481600.0,,5000.0,500.0,26.66576064854425
100,43,oui,doctorat,non,1946,veuf,,0.27,1729814400.0,805.0,5000.0,9420.317078132412,15.284545190625272
101,20,non,bac+2,non,500,veuf,,0.63,1725580800.0,787.0,10000.0,4127.01517045297,15.370370370370368
102,59,non,bac,non,1436,divorcé,,0.69,1736985600.0,554.0,,500.0,22.94893106640855
103,26,non,bac+2,oui,3667,,1.0,0.17,1731542400.0,,10000.0,500.0,18.99855882360924
104,57,oui,aucun,oui,3765,divorcé,3.0,0.29,1577923200.0,,,500.0,26.235716923942807
105,59,oui,bac,oui,1640,,4.0,0.45,1655251200.0,,10000.0,3720.305007666426,26.112926035824188
106,61,oui,aucun,oui,3974,divorcé,,0.84,1675036800.0,,5000.0,500.0,28.879063873403407
107,67,oui,aucun,oui,4633,veuf,,0.84,1744848000.0,669.0,453.27,500.0,21.721836369688724
108,71,non,doctorat,oui,2077,veuf,5.0,0.43,1610668800.0,496.0,,6069.528722438526,25.732771296931677
109,72,non,aucun,non,1408,marié,,0.73,1736726400.0,,,500.0,23.30951936399996
110,74,oui,master,oui,2456,veuf,2.0,0.09,1741564800.0,,,9295.06139134704,26.629780373971283
111,50,non,bac,oui,4343,divorcé,,0.33,1730937600.0,584.0,,500.0,18.528233372004117
112,47,oui,doctorat,non,3830,célibataire,,0.63,1609891200.0,,,43459.373722936565,25.057441128000434
113,45,oui,bac+2,non,2778,veuf,,0.75,1637452800.0,,,500.0,15.820042077604102
114,45,non,doctorat,oui,500,,,0.16,1623628800.0,,5000.0,19071.53279373577,35.23151486386579
115,52,oui,doctorat,non,2380,célibataire,4.0,0.96,1645920000.0,,,25969.31390156188,14.346238130021913
116,55,oui,bac,non,3773,veuf,2.0,0.56,1712102400.0,,,500.0,23.937671722684332
117,26,oui,aucun,oui,3280,,,0.16,1692144000.0,671.0,1504.38,500.0,16.693798078457657
118,59,non,doctorat,non,1236,veuf,,0.27,1738886400.0,641.0,148.64,500.0,26.558852842047074
119,45,non,bac,oui,3700,,,0.27,1662768000.0,613.0,,500.0,23.03282280690805
120,56,oui,aucun,non,2556,veuf,0.0,0.21,1728604800.0,322.0,,500.0,23.266020702663607
121,60,non,aucun,non,1498,marié,1.0,0.25,1728259200.0,483.0,991.36,500.0,27.29692530096525
122,33,non,master,non,3673,célibataire,3.0,0.59,1649894400.0,604.0,,15447.487891752608,24.168567703542976
123,46,oui,bac+2,non,1517,veuf,2.0,0.21,1613520000.0,,871.75,33039.482262154605,24.37755347976646
124,56,non,bac,non,942,divorcé,5.0,0.4,1667347200.0,,532.47,2814.291214417311,20.87553105658397
125,45,oui,bac,non,3369,,2.0,0.38,1605139200.0,,674.35,6485.522432905486,21.571763035092488
126,65,non,bac,oui,1899,divorcé,,0.81,1629504000.0,330.0,5000.0,500.0,20.634543893241737
127,57,non,bac,non,5511,marié,,0.95,1739232000.0,,,18913.573182111923,25.520029937660297
128,53,non,bac+2,non,3152,marié,,0.46,1713139200.0,,827.65,29952.602703918248,23.51812274912388
129,71,non,aucun,non,2437,célibataire,3.0,0.06,1705968000.0,746.0,5000.0,500.0,35.9065075840265
130,38,oui,aucun,non,1198,divorcé,0.0,0.26,1638662400.0,485.0,5000.0,500.0,25.027653612086933
131,47,oui,aucun,oui,2760,veuf,,0.16,1592611200.0,361.0,5000.0,500.0,23.148091810307875
132,58,non,master,oui,1715,,,0.9,1746230400.0,544.0,10000.0,500.0,38.13333828370584
133,25,oui,master,oui,2751,célibataire,3.0,0.75,1744761600.0,,5000.0,500.0,14.694793395786746
134,20,non,bac,non,3878,,,0.75,1590105600.0,674.0,5000.0,11025.064543114582,27.50465406730134
135,38,non,bac+2,oui,3397,veuf,1.0,0.46,1681430400.0,,10000.0,500.0,36.541045550054555
136,56,non,bac+2,non,2724,,,0.38,1589500800.0,,,2139.5957572864386,21.674698894097748
137,19,oui,aucun,non,3137,célibataire,,0.28,1600387200.0,,5000.0,500.0,20.652022238379566
138,48,non,aucun,oui,2737,veuf,,0.76,1579478400.0,,5000.0,500.0,25.80878991682143
139,68,non,bac+2,oui,1302,marié,,0.01,1737676800.0,436.0,582.62,500.0,20.277948496510408
140,61,non,bac,non,1962,,,0.54,1653696000.0,322.0,10000.0,8394.66324168909,21.572844142489124
141,50,non,master,oui,1676,veuf,,0.68,1728864000.0,,626.85,14916.872580013354,21.601268331351566
142,35,non,doctorat,oui,2233,veuf,,0.82,1709510400.0,,,500.0,20.876453924886974
143,57,oui,doctorat,oui,5478,divorcé,,0.94,1701388800.0,685.0,,3984.794741675325,27.55950025439539
144,28,oui,doctorat,oui,1656,,3.0,0.97,1732752000.0,,809.32,26592.283270461885,19.52645730545331
145,61,oui,aucun,oui,3914,veuf,5.0,0.98,1669248000.0,,10000.0,500.0,24.89396910258353
146,30,oui,master,non,500,célibataire,3.0,0.93,1616803200.0,,713.09,22780.31709737975,16.957620192843883
147,25,non,doctorat,oui,2608,marié,3.0,0.91,1624147200.0,,744.13,11814.00760141825,21.191754607609994
148,38,oui,aucun,non,1177,veuf,5.0,0.34,1731628800.0,373.0,,500.0,24.849866912310713
149,63,oui,doctorat,oui,3827,divorcé,1.0,0.78,1608249600.0,,5000.0,500.0,30.19080373076679
150,22,oui,master,non,2915,célibataire,0.0,0.96,1598140800.0,,,34110.298298145535,26.98858401508978
151,46,non,bac+2,oui,2841,divorcé,,0.06,1580774400.0,670.0,,500.0,27.610710840042646
152,21,oui,master,non,500,marié,,0.14,1606003200.0,,5000.0,500.0,22.57657283146421
153,20,oui,bac,non,2129,célibataire,2.0,0.61,1736640000.0,,5000.0,649.5630251954094,32.11194473568352
154,64,non,doctorat,non,2928,,,0.01,1578528000.0,,10000.0,500.0,22.450710736416497
155,57,oui,aucun,non,2195,marié,0.0,0.11,1731974400.0,,,500.0,15.72740278443409
156,62,oui,doctorat,non,2156,veuf,,0.68,1669075200.0,,622.11,500.0,26.560999867561865
157,66,non,bac,non,3982,divorcé,,0.67,1671148800.0,,5000.0,500.0,29.707019631171928
158,75,oui,doctorat,non,2069,veuf,,0.89,1653955200.0,531.0,10000.0,15380.547695732232,16.324122135208555
159,65,non,master,oui,4777,,3.0,0.9,1581206400.0,601.0,,2241.440919642173,33.90346133044889
160,70,oui,bac,non,1979,marié,,0.24,1631664000.0,401.0,,500.0,14.473439132869478
161,56,non,doctorat,oui,2120,,,0.8,1579046400.0,680.0,577.02,14741.930027756887,21.344905208292392
162,73,non,master,oui,2952,,,0.74,1617753600.0,,,6558.49125213323,26.44934758275963
163,74,non,aucun,non,2562,divorcé,,0.53,1710460800.0,,674.33,8257.496710422885,26.298690195273764
164,54,oui,bac+2,non,2353,,,0.17,1658016000.0,432.0,,27531.70478763513,16.7328881308505
165,54,oui,aucun,oui,1202,célibataire,1.0,0.86,1682208000.0,547.0,885.46,500.0,20.33191698071658
166,30,non,bac+2,oui,1829,marié,2.0,0.16,1655251200.0,,5000.0,500.0,35.82382005531137
167,31,non,bac,non,2865,veuf,,0.06,1711238400.0,754.0,586.19,5991.829927828809,25.52272717399332
168,30,oui,doctorat,oui,3887,divorcé,2.0,0.17,1710633600.0,348.0,,2229.452478450251,21.83825263057536
169,71,oui,aucun,oui,3537,marié,,0.22,1726876800.0,,5000.0,500.0,29.107263837395813
170,43,oui,doctorat,oui,2206,marié,0.0,0.41,1652745600.0,722.0,5000.0,32273.14558335014,20.011394174852967
171,63,oui,bac,non,2707,célibataire,,0.04,1722211200.0,363.0,787.62,500.0,26.686298259715397
172,65,non,doctorat,non,500,marié,2.0,0.21,1593907200.0,787.0,10000.0,29705.629787002348,18.55598303934953
173,40,non,bac,oui,2671,veuf,,0.55,1602201600.0,563.0,5000.0,500.0,18.274545041409084
174,64,non,bac+2,non,3604,veuf,2.0,0.46,1669939200.0,498.0,10000.0,500.0,17.99270010452902
175,54,oui,bac+2,oui,2914,marié,,0.66,1646524800.0,,10000.0,20264.661965661016,28.601465383720278
176,22,oui,aucun,non,2714,,5.0,0.28,1660003200.0,,,500.0,13.340143481281071
177,65,non,master,non,2687,célibataire,3.0,0.36,1676592000.0,,,500.0,33.24236668603436
178,64,non,doctorat,oui,2241,marié,0.0,0.65,1635552000.0,772.0,10000.0,14663.468950597158,23.94523675486333
179,54,non,bac+2,non,1755,marié,,0.03,1711324800.0,558.0,5000.0,500.0,21.9639756640516
180,70,non,aucun,oui,1879,marié,2.0,0.97,1599696000.0,,,500.0,31.710464116707975
181,51,non,master,non,1654,,3.0,0.34,1717200000.0,,706.35,500.0,16.103006541114453
182,70,oui,bac+2,oui,3605,veuf,,0.97,1669852800.0,,10000.0,11827.099110473297,21.634409293552807
183,55,non,doctorat,oui,3132,célibataire,,0.53,1582243200.0,473.0,746.82,500.0,21.209193077256074
184,67,oui,master,non,1743,,,0.3,1628553600.0,483.0,,26007.54931342834,23.92902590842693
185,49,oui,doctorat,non,3606,divorcé,,0.7,1700697600.0,,10000.0,13542.052608120248,17.88950874467434
186,44,oui,bac,non,3015,divorcé,,0.03,1671667200.0,,,15370.731471867794,34.44174539618547
187,26,non,aucun,non,1992,divorcé,,0.25,1668729600.0,,409.31,500.0,36.240866717057195
188,37,non,bac+2,non,1642,célibataire,5.0,0.58,1621987200.0,,10000.0,500.0,27.160225908779143
189,30,non,bac,non,1886,,,0.8,1743465600.0,612.0,,500.0,40.66196049633398
190,43,non,doctorat,non,1346,marié,,0.86,1617321600.0,595.0,,500.0,29.2976969744058
191,65,oui,master,non,3600,veuf,3.0,0.6,1631232000.0,381.0,5000.0,16922.25195186645,17.168959231171165
192,63,oui,aucun,non,3144,divorcé,,0.59,1746921600.0,411.0,,500.0,23.365848957065175
193,29,non,aucun,oui,1736,,2.0,0.35,1605571200.0,,10000.0,500.0,27.822043746304605
194,66,oui,master,non,786,divorcé,1.0,0.3,1609113600.0,,,4838.792686019202,33.10692663191836
195,66,non,aucun,oui,6228,,0.0,0.38,1624320000.0,354.0,505.03,500.0,23.747536403625926
196,38,oui,bac,oui,4285,marié,,0.12,1723248000.0,335.0,,500.0,18.33677685950413
197,28,non,bac,non,3675,,,0.46,1665619200.0,,,500.0,28.141482270690062
198,51,oui,bac,non,1727,célibataire,,0.32,1584057600.0,,10000.0,500.0,25.157981301939056
199,54,non,aucun,non,2756,veuf,,0.67,1635033600.0,,10000.0,500.0,23.645700240472316
200,42,oui,bac,non,2327,,3.0,0.13,1630627200.0,,5000.0,500.0,16.08295645816014
201,69,oui,aucun,non,1916,veuf,,0.3,1724630400.0,458.0,1000.63,500.0,24.437107344693455
202,48,non,bac+2,oui,1099,divorcé,3.0,0.68,1596931200.0,,10000.0,500.0,19.87216354089224
203,56,oui,master,non,1605,marié,,0.34,1720310400.0,,787.02,18926.971012018177,26.53218325646114
204,58,non,bac+2,oui,3162,marié,,0.02,1608681600.0,377.0,10000.0,11317.05772707672,12.332407656245332
205,62,oui,master,non,3830,,5.0,0.01,1598486400.0,308.0,,500.0,27.378572922043073
206,63,non,aucun,oui,500,,,0.04,1595808000.0,,,500.0,21.73295167376431
207,29,oui,bac,non,2962,divorcé,,0.4,1654473600.0,,5000.0,500.0,31.36005318778669
208,36,oui,aucun,non,1523,veuf,,0.02,1646697600.0,,5000.0,7568.264375717334,24.89758345400811
209,27,non,doctorat,oui,3554,divorcé,,0.4,1584662400.0,,5000.0,500.0,17.73525010377518
210,66,oui,doctorat,oui,4443,,,0.53,1668384000.0,440.0,10000.0,7590.862162369456,22.168927225457995
211,54,non,bac,oui,2766,,,0.99,1611014400.0,590.0,,500.0,26.462480674934884
212,42,oui,aucun,non,2837,,,0.93,1582588800.0,,5000.0,500.0,28.665045236813743
213,70,oui,bac,oui,2164,veuf,,0.93,1677542400.0,663.0,,500.0,29.37304929530391
214,41,oui,doctorat,oui,1271,marié,,0.43,1621123200.0,523.0,5000.0,500.0,18.415925162989232
215,47,non,master,oui,2230,célibataire,,0.55,1578528000.0,,,500.0,27.228402366863907
216,35,non,bac+2,oui,867,marié,,0.71,1589241600.0,,,500.0,24.69571115573237
217,20,oui,aucun,oui,1505,veuf,3.0,0.37,1633132800.0,576.0,10000.0,500.0,22.515309439931677
218,24,non,aucun,oui,1227,célibataire,,0.04,1590796800.0,817.0,,500.0,23.952095808383234
219,41,non,master,oui,1618,célibataire,,0.3,1714867200.0,539.0,10000.0,500.0,24.696623671179815
220,28,oui,doctorat,non,1065,divorcé,,0.33,1680220800.0,,,500.0,23.83289315210488
221,55,non,bac,non,2321,veuf,0.0,0.09,1749340800.0,,5000.0,500.0,23.75364043044557
222,66,non,master,oui,1549,marié,2.0,0.63,1657324800.0,,5000.0,500.0,19.3006384814027
223,29,oui,bac,non,2841,marié,4.0,0.59,1689897600.0,,,20359.14263743785,23.792572161461166
224,66,oui,aucun,oui,1607,veuf,,0.62,1695081600.0,,5000.0,500.0,21.575501828912138
225,73,oui,bac+2,non,3126,célibataire,,0.47,1653696000.0,,10000.0,4573.03732213069,15.44757532131714
226,68,oui,doctorat,oui,2530,marié,,0.93,1668816000.0,613.0,10000.0,41266.76391048204,29.826639072750623
227,56,oui,bac,oui,2284,divorcé,5.0,0.64,1731628800.0,,1035.23,16987.09552051339,24.429633145004896
228,41,non,bac+2,oui,4029,,4.0,0.09,1737244800.0,,5000.0,11396.277028540822,34.2662217198894
229,53,oui,bac,oui,3122,divorcé,1.0,0.04,1603756800.0,,10000.0,500.0,30.52927937280436
230,20,non,master,oui,2554,célibataire,,0.8,1593129600.0,497.0,10000.0,500.0,17.831831434845515
231,51,oui,master,non,4125,marié,,0.37,1605657600.0,760.0,1050.24,3949.3607665094414,26.18485410693203
232,25,non,aucun,non,4148,divorcé,5.0,1.0,1671062400.0,,769.87,500.0,20.151938418555044
233,29,non,aucun,oui,2784,divorcé,,0.24,1696809600.0,739.0,5000.0,500.0,27.93670611576746
234,28,non,bac+2,oui,695,veuf,5.0,0.51,1705622400.0,,5000.0,500.0,22.40604322994545
235,27,non,aucun,oui,1389,célibataire,,0.14,1675641600.0,,5000.0,500.0,21.524884833256188
236,65,oui,master,oui,1799,marié,4.0,0.27,1616976000.0,421.0,10000.0,15232.197838487937,31.859772864645272
237,37,oui,aucun,oui,3680,,5.0,0.05,1635638400.0,737.0,10000.0,8232.208869774784,32.42493439897442
238,61,non,master,oui,4727,,5.0,0.97,1626307200.0,458.0,10000.0,27080.061169135097,17.31301939058171
239,75,oui,aucun,non,1548,,,0.68,1606780800.0,804.0,694.61,14463.395705282652,19.863242346338577
240,28,oui,master,non,2284,marié,,0.16,1592611200.0,322.0,,6144.190390089874,24.092832921597605
241,68,non,master,oui,4288,divorcé,4.0,0.98,1662336000.0,679.0,5000.0,18906.9193030344,30.938913002795065
242,33,oui,bac+2,oui,3662,veuf,4.0,0.17,1641945600.0,733.0,969.83,24065.571824604594,26.188934369874257
243,36,oui,aucun,non,912,célibataire,3.0,0.35,1621123200.0,626.0,848.11,500.0,25.005202629700236
244,56,oui,bac,non,2589,,,0.79,1625788800.0,,,500.0,16.201020436104088
245,49,non,bac,non,2460,,0.0,0.84,1610496000.0,515.0,,500.0,22.578124999999993
246,45,oui,bac,oui,3372,veuf,,0.65,1710201600.0,,673.33,17172.11847966603,13.148511614848129
247,55,oui,bac,non,4175,divorcé,,0.17,1694476800.0,,795.44,18234.77874348745,31.928467201441343
248,31,oui,aucun,non,3192,célibataire,,0.66,1686528000.0,516.0,5000.0,8520.84783692959,25.61511706108497
249,33,oui,bac,non,2008,,1.0,0.39,1685491200.0,,10000.0,500.0,26.342485285896448
250,64,oui,bac+2,oui,1765,célibataire,,0.39,1581552000.0,342.0,5000.0,500.0,23.73888538822376
251,30,oui,master,oui,1412,célibataire,,0.23,1685404800.0,,1528.58,500.0,35.613416545287606
252,64,oui,bac,non,1818,veuf,4.0,0.84,1667001600.0,517.0,360.11,500.0,27.0118091064037
253,30,non,master,oui,2957,,5.0,0.39,1714953600.0,,5000.0,6118.426138861176,20.633170620636577
254,25,non,bac,non,2198,,2.0,0.32,1645920000.0,441.0,5000.0,13025.400471408417,26.433528122717313
255,45,non,bac+2,oui,2062,veuf,,0.7,1586995200.0,743.0,5000.0,4955.959871842641,26.036261969779535
256,73,oui,aucun,non,1193,divorcé,1.0,0.18,1660435200.0,608.0,1013.83,18497.083878446258,28.674646728352304
257,29,oui,bac,oui,2466,célibataire,,0.24,1618531200.0,,5000.0,500.0,20.58819210588143
258,54,oui,master,oui,3557,divorcé,2.0,0.6,1678233600.0,843.0,,22311.581737233337,24.91493241824582
259,32,oui,bac,non,3773,marié,2.0,0.97,1597536000.0,699.0,10000.0,500.0,26.571311559263314
260,67,oui,doctorat,oui,2161,,,0.75,1613088000.0,635.0,,9326.554250395482,27.15979880119923
261,21,non,bac,oui,1498,célibataire,,0.55,1676160000.0,495.0,10000.0,500.0,27.323948970169788
262,33,oui,doctorat,non,2844,veuf,0.0,0.34,1601942400.0,,5000.0,500.0,14.728089412126808
263,69,non,bac,oui,2499,divorcé,,0.39,1643414400.0,,5000.0,500.0,28.222561635660842
