,id,age,taille,poids,niveau_etude,revenu_estime_mois,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,sport_licence_oui,sport_licence_non,smoker_oui,smoker_non,situation_familiale_célibataire,situation_familiale_marié,situation_familiale_divorcé,situation_familiale_veuf,montant_pret
36,37,33,180.6,87.3,2,3644,3.0,0.83,2025-05-20,474.0,10000.0,0,1,1,0,0,0,1,0,500.0
37,38,35,162.8,78.2,4,2186,3.0,0.81,2021-12-30,574.0,5000.0,0,1,0,1,0,0,0,1,13336.458815540716
38,39,23,173.4,53.3,4,1878,5.0,0.89,2024-08-14,574.0,10000.0,0,1,0,1,0,0,0,0,500.0
39,40,56,173.0,50.5,2,3511,0.0,0.35,2025-05-28,574.0,667.42,0,1,0,1,0,0,1,0,6275.995657375264
40,41,54,160.4,52.9,1,2292,1.0,0.09,2024-04-22,574.0,1225.01,1,0,0,1,0,0,0,1,500.0
41,42,18,170.2,93.8,3,4413,3.0,0.88,2020-04-24,574.0,5000.0,1,0,0,1,0,0,1,0,23586.21984120104
42,43,66,183.6,78.6,4,4075,3.0,0.23,2022-08-18,574.0,5000.0,0,1,0,1,0,0,0,1,29327.468801877967
43,44,54,167.3,72.5,2,500,3.0,0.23,2025-05-26,574.0,633.96,0,1,1,0,0,1,0,0,500.0
44,45,64,181.9,73.9,1,2527,3.0,0.64,2022-11-21,574.0,5000.0,1,0,1,0,0,0,0,1,6766.208142869146
45,46,18,176.4,61.0,4,3125,3.0,0.95,2020-07-07,454.0,5000.0,0,1,1,0,0,0,0,1,500.0
46,47,66,154.6,61.7,2,2629,3.0,0.72,2023-01-27,663.0,10000.0,1,0,1,0,0,0,0,1,500.0
47,48,39,165.8,68.7,0,4301,1.0,0.82,2021-02-17,570.0,5000.0,1,0,1,0,0,0,0,0,6527.309924135625
48,49,38,179.0,90.4,1,3880,3.0,0.61,2020-08-07,574.0,5000.0,0,1,0,1,0,0,0,0,500.0
49,50,40,167.7,75.0,0,3696,3.0,0.5,2021-03-25,574.0,5000.0,1,0,1,0,0,1,0,0,500.0
50,51,21,172.4,79.9,0,5297,2.0,0.91,2022-07-25,574.0,5000.0,0,1,1,0,0,0,0,0,500.0
51,52,48,174.3,73.1,2,2944,2.0,0.3,2020-08-14,542.0,5000.0,0,1,1,0,0,0,0,0,4878.983510459015
52,53,20,172.1,90.3,0,1733,3.0,0.73,2022-04-02,574.0,5000.0,1,0,1,0,0,0,1,0,500.0
53,54,71,173.3,59.0,1,500,3.0,0.42,2021-04-10,329.0,5000.0,0,1,1,0,1,0,0,0,500.0
54,55,24,168.4,81.5,3,500,3.0,0.68,2021-11-27,578.0,5000.0,1,0,1,0,0,0,0,1,9005.3984759165
55,56,70,168.4,55.6,1,891,1.0,0.72,2020-03-29,574.0,1262.05,0,1,0,1,0,0,0,1,4648.262954564732
56,57,67,169.7,43.4,0,3188,3.0,0.55,2023-07-01,718.0,10000.0,0,1,0,1,0,0,0,1,500.0
57,58,61,156.7,69.0,4,3018,3.0,0.36,2024-04-18,328.0,10000.0,0,1,0,1,0,0,0,0,500.0
58,59,29,188.3,58.7,4,500,3.0,0.82,2022-09-28,464.0,5000.0,0,1,0,1,0,0,0,1,17519.79086127057
59,60,63,187.3,43.5,3,4921,4.0,0.12,2020-12-20,574.0,10000.0,0,1,0,1,0,0,0,1,500.0
60,61,72,163.5,86.0,0,2369,4.0,0.7,2021-12-26,574.0,1011.5,1,0,0,1,0,0,0,1,500.0
61,62,64,179.8,67.8,0,2309,3.0,0.39,2023-03-15,574.0,986.83,0,1,0,1,0,0,0,1,23004.85004339703
62,63,59,169.7,81.3,1,4242,3.0,0.78,2023-06-12,849.0,5000.0,0,1,1,0,1,0,0,0,525.9216548946995
63,64,72,165.9,43.7,0,1279,3.0,0.71,2025-03-27,574.0,10000.0,1,0,1,0,0,0,0,0,500.0
64,65,18,171.1,68.0,0,2803,2.0,0.25,2023-10-31,574.0,5000.0,1,0,0,1,0,0,0,0,5283.578467374318
65,66,40,160.9,69.1,4,2497,3.0,0.19,2023-09-01,574.0,5000.0,1,0,1,0,0,0,1,0,500.0
66,67,35,177.0,64.8,1,2794,3.0,0.4,2023-04-21,616.0,639.35,0,1,0,1,0,0,0,1,15204.45744031618
67,68,32,174.1,67.5,1,2945,3.0,0.26,2023-03-20,574.0,1164.09,1,0,0,1,0,0,0,0,500.0
68,69,63,174.2,45.3,0,4197,3.0,0.35,2020-05-18,492.0,10000.0,0,1,1,0,0,0,0,0,500.0
69,70,19,181.7,94.7,0,3256,0.0,0.65,2022-03-18,473.0,828.76,0,1,0,1,0,0,0,0,500.0
70,71,69,170.8,81.9,1,3717,2.0,0.56,2022-01-21,574.0,10000.0,0,1,1,0,0,0,0,1,13170.559304605247
71,72,47,184.4,76.9,4,2983,3.0,0.69,2023-06-14,574.0,5000.0,1,0,0,1,0,0,0,0,23595.20348242246
72,73,70,172.3,87.9,4,2076,3.0,0.7,2021-10-01,574.0,5000.0,0,1,0,1,0,0,0,1,22782.65101085786
73,74,67,162.0,71.4,3,3439,0.0,0.06,2021-08-22,361.0,10000.0,1,0,1,0,0,0,0,1,942.2444110939668
74,75,68,156.5,64.2,4,686,1.0,0.11,2020-12-01,375.0,5000.0,1,0,0,1,1,0,0,0,12270.06665872613
75,76,56,161.9,76.6,0,3780,3.0,0.5,2025-02-24,502.0,5000.0,0,1,1,0,1,0,0,0,1147.9499177521698
76,77,66,171.9,52.5,1,4590,5.0,0.84,2025-05-07,574.0,5000.0,1,0,0,1,1,0,0,0,25361.899125577955
77,78,58,160.7,54.7,2,2960,3.0,0.67,2024-05-03,574.0,5000.0,0,1,1,0,0,0,1,0,12717.193538141437
78,80,45,172.6,74.9,1,1635,3.0,0.76,2022-01-15,452.0,958.13,0,1,1,0,0,1,0,0,500.0
79,81,56,187.2,87.3,4,1762,2.0,0.04,2024-11-02,574.0,913.01,1,0,1,0,0,0,1,0,8395.400810142952
80,82,45,169.5,52.3,0,743,4.0,0.63,2024-03-31,713.0,10000.0,0,1,1,0,0,0,0,0,1991.076420631058
81,83,47,163.9,61.2,2,2914,3.0,0.46,2023-06-01,809.0,5000.0,0,1,1,0,1,0,0,0,500.0
82,84,65,157.5,61.3,3,1040,3.0,0.67,2024-08-08,651.0,10000.0,0,1,0,1,0,0,0,1,500.0
83,85,60,173.6,90.8,0,1427,3.0,0.09,2022-10-11,574.0,10000.0,1,0,1,0,0,0,0,1,500.0
84,86,65,172.9,69.0,1,681,3.0,0.25,2024-11-09,394.0,5000.0,1,0,0,1,0,0,0,1,500.0
85,87,74,170.3,89.0,4,3300,3.0,0.89,2020-08-31,574.0,5000.0,1,0,0,1,0,1,0,0,753.6030929569296
86,88,52,154.6,78.0,2,2175,2.0,0.95,2020-08-05,649.0,5000.0,0,1,1,0,0,0,0,1,14002.865498517638
87,89,49,156.4,94.7,3,3484,3.0,0.65,2021-04-03,819.0,5000.0,1,0,0,1,0,0,0,0,17450.841622992128
88,90,22,170.9,94.5,4,2106,5.0,0.04,2024-01-17,574.0,5000.0,0,1,1,0,1,0,0,0,24090.770841341116
89,91,19,160.2,57.3,4,530,3.0,0.24,2024-02-12,574.0,10000.0,1,0,0,1,1,0,0,0,500.0
90,92,59,176.7,55.7,2,5303,3.0,0.38,2025-05-11,574.0,385.13,1,0,1,0,0,0,0,0,26156.233451699125
91,93,56,165.2,94.1,2,1714,2.0,0.98,2022-08-23,342.0,755.18,0,1,1,0,0,1,0,0,500.0
92,94,41,173.3,95.9,2,1302,3.0,0.06,2022-06-25,574.0,5000.0,1,0,0,1,0,0,1,0,500.0
93,95,60,162.9,45.2,3,4205,5.0,0.32,2024-02-22,507.0,959.2,1,0,0,1,1,0,0,0,8633.339757804348
94,96,35,152.7,56.6,4,1337,3.0,0.32,2022-06-22,574.0,5000.0,0,1,1,0,0,0,0,0,500.0
95,97,40,184.2,64.7,3,1022,2.0,0.83,2022-05-02,574.0,1181.95,0,1,0,1,0,1,0,0,22176.96596468062
96,98,26,178.6,96.4,0,2685,3.0,0.18,2020-03-24,574.0,5000.0,1,0,0,1,1,0,0,0,19568.24158699261
97,99,54,170.7,77.7,2,2332,0.0,0.38,2021-04-27,574.0,5000.0,0,1,1,0,0,0,1,0,500.0
98,100,43,178.5,48.7,4,1946,3.0,0.27,2024-10-25,805.0,5000.0,1,0,0,1,0,0,0,1,9420.317078132412
99,101,20,180.0,49.8,2,500,3.0,0.63,2024-09-06,787.0,10000.0,0,1,0,1,0,0,0,1,4127.01517045297
100,102,59,174.4,69.8,1,1436,3.0,0.69,2025-01-16,554.0,5000.0,0,1,0,1,0,0,1,0,500.0
101,103,26,182.1,63.0,2,3667,1.0,0.17,2024-11-14,574.0,10000.0,0,1,1,0,0,0,0,0,500.0
102,104,57,165.2,71.6,0,3765,3.0,0.29,2020-01-02,574.0,5000.0,1,0,1,0,0,0,1,0,500.0
103,105,59,170.6,76.0,1,1640,4.0,0.45,2022-06-15,574.0,10000.0,1,0,1,0,0,0,0,0,3720.305007666426
104,106,61,155.8,70.1,0,3974,3.0,0.84,2023-01-30,574.0,5000.0,1,0,1,0,0,0,1,0,500.0
105,107,67,168.4,61.6,0,4633,3.0,0.84,2025-04-17,669.0,453.27,1,0,1,0,0,0,0,1,500.0
106,108,71,161.6,67.2,4,2077,5.0,0.43,2021-01-15,496.0,5000.0,0,1,1,0,0,0,0,1,6069.528722438526
107,109,72,159.5,59.3,0,1408,3.0,0.73,2025-01-13,574.0,5000.0,0,1,0,1,0,1,0,0,500.0
108,110,74,158.5,66.9,3,2456,2.0,0.09,2025-03-10,574.0,5000.0,1,0,1,0,0,0,0,1,9295.06139134704
109,111,50,178.9,59.3,1,4343,3.0,0.33,2024-11-07,584.0,5000.0,0,1,1,0,0,0,1,0,500.0
110,113,45,179.9,51.2,2,2778,3.0,0.75,2021-11-21,574.0,5000.0,1,0,0,1,0,0,0,1,500.0
111,114,45,165.5,96.5,4,500,3.0,0.16,2021-06-14,574.0,5000.0,0,1,1,0,0,0,0,0,19071.53279373577
112,115,52,185.0,49.1,4,2380,4.0,0.96,2022-02-27,574.0,5000.0,1,0,0,1,1,0,0,0,25969.31390156188
113,116,55,163.0,63.6,1,3773,2.0,0.56,2024-04-03,574.0,5000.0,1,0,0,1,0,0,0,1,500.0
114,117,26,177.0,52.3,0,3280,3.0,0.16,2023-08-16,671.0,1504.38,1,0,1,0,0,0,0,0,500.0
115,118,59,161.3,69.1,4,1236,3.0,0.27,2025-02-07,641.0,148.64,0,1,0,1,0,0,0,1,500.0
116,119,45,170.3,66.8,1,3700,3.0,0.27,2022-09-10,613.0,5000.0,0,1,1,0,0,0,0,0,500.0
117,120,56,163.9,62.5,0,2556,0.0,0.21,2024-10-11,322.0,5000.0,1,0,0,1,0,0,0,1,500.0
118,121,60,150.1,61.5,0,1498,1.0,0.25,2024-10-07,483.0,991.36,0,1,0,1,0,1,0,0,500.0
119,122,33,172.6,72.0,3,3673,3.0,0.59,2022-04-14,604.0,5000.0,0,1,0,1,1,0,0,0,15447.487891752608
120,123,46,170.3,70.7,2,1517,2.0,0.21,2021-02-17,574.0,871.75,1,0,0,1,0,0,0,1,33039.482262154605
121,124,56,168.4,59.2,1,942,5.0,0.4,2022-11-02,574.0,532.47,0,1,0,1,0,0,1,0,2814.291214417311
122,125,45,165.8,59.3,1,3369,2.0,0.38,2020-11-12,574.0,674.35,1,0,0,1,0,0,0,0,6485.522432905486
123,126,65,173.2,61.9,1,1899,3.0,0.81,2021-08-21,330.0,5000.0,0,1,1,0,0,0,1,0,500.0
124,127,57,165.5,69.9,1,5511,3.0,0.95,2025-02-11,574.0,5000.0,0,1,0,1,0,1,0,0,18913.573182111923
125,128,53,172.4,69.9,2,3152,3.0,0.46,2024-04-15,574.0,827.65,0,1,0,1,0,1,0,0,29952.602703918248
126,129,71,163.0,95.4,0,2437,3.0,0.06,2024-01-23,746.0,5000.0,0,1,0,1,1,0,0,0,500.0
127,130,38,152.1,57.9,0,1198,0.0,0.26,2021-12-05,485.0,5000.0,1,0,0,1,0,0,1,0,500.0
128,131,47,192.3,85.6,0,2760,3.0,0.16,2020-06-20,361.0,5000.0,1,0,1,0,0,0,0,1,500.0
129,132,58,160.8,98.6,3,1715,3.0,0.9,2025-05-03,544.0,10000.0,0,1,1,0,0,0,0,0,500.0
130,133,25,174.8,44.9,3,2751,3.0,0.75,2025-04-16,574.0,5000.0,1,0,1,0,1,0,0,0,500.0
131,134,20,164.8,74.7,1,3878,3.0,0.75,2020-05-22,674.0,5000.0,0,1,0,1,0,0,0,0,11025.064543114582
132,135,38,166.5,101.3,2,3397,1.0,0.46,2023-04-14,574.0,10000.0,0,1,1,0,0,0,0,1,500.0
133,136,56,174.5,66.0,2,2724,3.0,0.38,2020-05-15,574.0,5000.0,0,1,0,1,0,0,0,0,2139.5957572864386
134,137,19,184.5,70.3,0,3137,3.0,0.28,2020-09-18,574.0,5000.0,1,0,0,1,1,0,0,0,500.0
135,138,48,164.1,69.5,0,2737,3.0,0.76,2020-01-20,574.0,5000.0,0,1,1,0,0,0,0,1,500.0
136,139,68,178.9,64.9,2,1302,3.0,0.01,2025-01-24,436.0,582.62,0,1,1,0,0,1,0,0,500.0
137,140,61,176.1,66.9,1,1962,3.0,0.54,2022-05-28,322.0,10000.0,0,1,0,1,0,0,0,0,8394.66324168909
138,141,50,174.0,65.4,3,1676,3.0,0.68,2024-10-14,574.0,626.85,0,1,1,0,0,0,0,1,14916.872580013354
139,142,35,175.5,64.3,4,2233,3.0,0.82,2024-03-04,574.0,5000.0,0,1,1,0,0,0,0,1,500.0
140,143,57,159.6,70.2,4,5478,3.0,0.94,2023-12-01,685.0,5000.0,1,0,1,0,0,0,1,0,3984.794741675325
141,144,28,169.5,56.1,4,1656,3.0,0.97,2024-11-28,574.0,809.32,1,0,1,0,0,0,0,0,26592.283270461885
142,145,61,164.3,67.2,0,3914,5.0,0.98,2022-11-24,574.0,10000.0,1,0,1,0,0,0,0,1,500.0
143,146,30,192.9,63.1,3,500,3.0,0.93,2021-03-27,574.0,713.09,1,0,0,1,1,0,0,0,22780.31709737975
144,147,25,185.6,73.0,4,2608,3.0,0.91,2021-06-20,574.0,744.13,0,1,1,0,0,1,0,0,11814.00760141825
145,148,38,165.3,67.9,0,1177,5.0,0.34,2024-11-15,373.0,5000.0,1,0,0,1,0,0,0,1,500.0
146,149,63,167.1,84.3,4,3827,1.0,0.78,2020-12-18,574.0,5000.0,1,0,1,0,0,0,1,0,500.0
147,151,46,168.4,78.3,2,2841,3.0,0.06,2020-02-04,670.0,5000.0,0,1,1,0,0,0,1,0,500.0
148,152,21,163.7,60.5,3,500,3.0,0.14,2020-11-22,574.0,5000.0,1,0,0,1,0,1,0,0,500.0
149,153,20,162.6,84.9,1,2129,2.0,0.61,2025-01-12,574.0,5000.0,1,0,0,1,1,0,0,0,649.5630251954094
150,154,64,164.7,60.9,4,2928,3.0,0.01,2020-01-09,574.0,10000.0,0,1,0,1,0,0,0,0,500.0
151,155,57,183.4,52.9,0,2195,0.0,0.11,2024-11-19,574.0,5000.0,1,0,0,1,0,1,0,0,500.0
152,156,62,165.1,72.4,4,2156,3.0,0.68,2022-11-22,574.0,622.11,1,0,0,1,0,0,0,1,500.0
153,157,66,164.0,79.9,1,3982,3.0,0.67,2022-12-16,574.0,5000.0,0,1,0,1,0,0,1,0,500.0
154,158,75,172.9,48.8,4,2069,3.0,0.89,2022-05-31,531.0,10000.0,1,0,0,1,0,0,0,1,15380.547695732232
155,159,65,172.0,100.3,3,4777,3.0,0.9,2020-02-09,601.0,5000.0,0,1,1,0,0,0,0,0,2241.440919642173
156,160,70,182.3,48.1,1,1979,3.0,0.24,2021-09-15,401.0,5000.0,1,0,0,1,0,1,0,0,500.0
157,161,56,171.8,63.0,4,2120,3.0,0.8,2020-01-15,680.0,577.02,0,1,1,0,0,0,0,0,14741.930027756887
158,162,73,169.4,75.9,3,2952,3.0,0.74,2021-04-07,574.0,5000.0,0,1,1,0,0,0,0,0,6558.49125213323
159,163,74,171.0,76.9,0,2562,3.0,0.53,2024-03-15,574.0,674.33,0,1,0,1,0,0,1,0,8257.496710422885
160,164,54,170.6,48.7,2,2353,3.0,0.17,2022-07-17,432.0,5000.0,1,0,0,1,0,0,0,0,27531.70478763513
161,165,54,178.8,65.0,0,1202,1.0,0.86,2023-04-23,547.0,885.46,1,0,1,0,1,0,0,0,500.0
162,166,30,161.9,93.9,2,1829,2.0,0.16,2022-06-15,574.0,5000.0,0,1,1,0,0,1,0,0,500.0
163,167,31,166.2,70.5,1,2865,3.0,0.06,2024-03-24,754.0,586.19,0,1,0,1,0,0,0,1,5991.829927828809
164,168,30,176.2,67.8,4,3887,2.0,0.17,2024-03-17,348.0,5000.0,1,0,1,0,0,0,1,0,2229.452478450251
165,169,71,154.3,69.3,0,3537,3.0,0.22,2024-09-21,574.0,5000.0,1,0,1,0,0,1,0,0,500.0
166,170,43,173.3,60.1,4,2206,0.0,0.41,2022-05-17,722.0,5000.0,1,0,1,0,0,1,0,0,32273.14558335014
167,171,63,177.1,83.7,1,2707,3.0,0.04,2024-07-29,363.0,787.62,1,0,0,1,1,0,0,0,500.0
168,172,65,182.2,61.6,4,500,2.0,0.21,2020-07-05,787.0,10000.0,0,1,0,1,0,1,0,0,29705.629787002348
169,173,40,170.3,53.0,1,2671,3.0,0.55,2020-10-09,563.0,5000.0,0,1,1,0,0,0,0,1,500.0
170,174,64,174.2,54.6,2,3604,2.0,0.46,2022-12-02,498.0,10000.0,0,1,0,1,0,0,0,1,500.0
171,175,54,176.5,89.1,2,2914,3.0,0.66,2022-03-06,574.0,10000.0,1,0,1,0,0,1,0,0,20264.661965661016
172,176,22,188.3,47.3,0,2714,5.0,0.28,2022-08-09,574.0,5000.0,1,0,0,1,0,0,0,0,500.0
173,177,65,167.8,93.6,3,2687,3.0,0.36,2023-02-17,574.0,5000.0,0,1,0,1,1,0,0,0,500.0
174,178,64,175.2,73.5,4,2241,0.0,0.65,2021-10-30,772.0,10000.0,0,1,1,0,0,1,0,0,14663.468950597158
175,179,54,171.1,64.3,2,1755,3.0,0.03,2024-03-25,558.0,5000.0,0,1,0,1,0,1,0,0,500.0
176,180,70,154.2,75.4,0,1879,2.0,0.97,2020-09-10,574.0,5000.0,0,1,1,0,0,1,0,0,500.0
177,181,51,165.3,44.0,3,1654,3.0,0.34,2024-06-01,574.0,706.35,0,1,0,1,0,0,0,0,500.0
178,182,70,172.8,64.6,2,3605,3.0,0.97,2022-12-01,574.0,10000.0,1,0,1,0,0,0,0,1,11827.099110473297
179,183,55,194.7,80.4,4,3132,3.0,0.53,2020-02-21,473.0,746.82,0,1,1,0,1,0,0,0,500.0
180,184,67,173.1,71.7,3,1743,3.0,0.3,2021-08-10,483.0,5000.0,1,0,0,1,0,0,0,0,26007.54931342834
181,185,49,178.5,57.0,4,3606,3.0,0.7,2023-11-23,574.0,10000.0,1,0,0,1,0,0,1,0,13542.052608120248
182,186,44,167.3,96.4,1,3015,3.0,0.03,2022-12-22,574.0,5000.0,1,0,0,1,0,0,1,0,15370.731471867794
183,187,26,157.5,89.9,0,1992,3.0,0.25,2022-11-18,574.0,409.31,0,1,0,1,0,0,1,0,500.0
184,188,37,172.8,81.1,2,1642,5.0,0.58,2021-05-26,574.0,10000.0,0,1,0,1,1,0,0,0,500.0
185,189,30,164.7,110.3,1,1886,3.0,0.8,2025-04-01,612.0,5000.0,0,1,0,1,0,0,0,0,500.0
186,190,43,157.2,72.4,4,1346,3.0,0.86,2021-04-02,595.0,5000.0,0,1,0,1,0,1,0,0,500.0
187,191,65,167.9,48.4,3,3600,3.0,0.6,2021-09-10,381.0,5000.0,1,0,0,1,0,0,0,1,16922.25195186645
188,192,63,177.6,73.7,0,3144,3.0,0.59,2025-05-11,411.0,5000.0,1,0,0,1,0,0,1,0,500.0
189,193,29,166.9,77.5,0,1736,2.0,0.35,2020-11-17,574.0,10000.0,0,1,1,0,0,0,0,0,500.0
190,194,66,165.7,90.9,3,786,1.0,0.3,2020-12-28,574.0,5000.0,1,0,0,1,0,0,1,0,4838.792686019202
191,196,38,176.0,56.8,1,4285,3.0,0.12,2024-08-10,335.0,5000.0,1,0,1,0,0,1,0,0,500.0
192,197,28,168.5,79.9,1,3675,3.0,0.46,2022-10-13,574.0,5000.0,0,1,0,1,0,0,0,0,500.0
193,198,51,182.4,83.7,1,1727,3.0,0.32,2020-03-13,574.0,10000.0,1,0,0,1,1,0,0,0,500.0
194,199,54,170.7,68.9,0,2756,3.0,0.67,2021-10-24,574.0,10000.0,0,1,0,1,0,0,0,1,500.0
195,200,42,177.9,50.9,1,2327,3.0,0.13,2021-09-03,574.0,5000.0,1,0,0,1,0,0,0,0,500.0
196,201,69,172.6,72.8,0,1916,3.0,0.3,2024-08-26,458.0,1000.63,1,0,0,1,0,0,0,1,500.0
197,202,48,160.2,51.0,2,1099,3.0,0.68,2020-08-09,574.0,10000.0,0,1,1,0,0,0,1,0,500.0
198,203,56,157.6,65.9,3,1605,3.0,0.34,2024-07-07,574.0,787.02,1,0,0,1,0,1,0,0,18926.971012018177
199,204,58,183.0,41.3,2,3162,3.0,0.02,2020-12-23,377.0,10000.0,0,1,1,0,0,1,0,0,11317.05772707672
200,205,62,165.4,74.9,3,3830,5.0,0.01,2020-08-27,308.0,5000.0,1,0,0,1,0,0,0,0,500.0
201,206,63,183.4,73.1,0,500,3.0,0.04,2020-07-27,574.0,5000.0,0,1,1,0,0,0,0,0,500.0
202,207,29,167.8,88.3,1,2962,3.0,0.4,2022-06-06,574.0,5000.0,1,0,0,1,0,0,1,0,500.0
203,208,36,172.4,74.0,0,1523,3.0,0.02,2022-03-08,574.0,5000.0,1,0,0,1,0,0,0,1,7568.264375717334
204,209,27,176.9,55.5,4,3554,3.0,0.4,2020-03-20,574.0,5000.0,0,1,1,0,0,0,1,0,500.0
205,210,66,171.1,64.9,4,4443,3.0,0.53,2022-11-14,440.0,10000.0,1,0,1,0,0,0,0,0,7590.862162369456
206,211,54,163.8,71.0,1,2766,3.0,0.99,2021-01-19,590.0,5000.0,0,1,1,0,0,0,0,0,500.0
207,212,42,172.2,85.0,0,2837,3.0,0.93,2020-02-25,574.0,5000.0,1,0,0,1,0,0,0,0,500.0
208,213,70,176.4,91.4,1,2164,3.0,0.93,2023-02-28,663.0,5000.0,1,0,1,0,0,0,0,1,500.0
209,214,41,173.6,55.5,4,1271,3.0,0.43,2021-05-16,523.0,5000.0,1,0,1,0,0,1,0,0,500.0
210,215,47,162.5,71.9,3,2230,3.0,0.55,2020-01-09,574.0,5000.0,0,1,1,0,1,0,0,0,500.0
211,216,35,172.4,73.4,2,867,3.0,0.71,2020-05-12,574.0,5000.0,0,1,1,0,0,1,0,0,500.0
